invoice_id,subscription_id,customer_id,plan_tier,invoice_month,invoice_amount,total_paid,max_days_to_pay,payment_issue_type,amount_outstanding
37131,11055,11055,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
46136,13683,13683,Growth,2025-12-01,79,79.0,44.0,Late Payment,0.00
39927,11864,11864,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
9599,3095,3095,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
56079,16728,16728,Business,2025-12-01,199,199.0,39.0,Late Payment,0.00
29593,8838,8838,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
35485,10621,10621,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
38372,11456,11456,Business,2025-12-01,199,199.0,31.0,Late Payment,0.00
19628,5965,5965,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
53864,16140,16140,Business,2025-12-01,199,199.0,36.0,Late Payment,0.00
44859,13334,13334,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
9180,2989,2989,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
116167,35655,35655,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
182245,48193,48193,Growth,2025-12-01,79,79.0,45.0,Late Payment,0.00
171375,18079,18079,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
159703,48504,48504,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
93433,28677,28677,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
116503,35763,35763,Starter,2025-12-01,19,19.0,34.0,Late Payment,0.00
126258,38648,38648,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
183170,18635,18635,Business,2025-12-01,199,199.0,42.0,Late Payment,0.00
182936,3455,3455,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
181068,44911,44911,Growth,2025-12-01,69,69.0,32.0,Late Payment,0.00
175298,28837,28837,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
167560,8310,8310,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
125815,38520,38520,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
142884,43506,43506,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
152351,46360,46360,Business,2025-12-01,199,199.0,41.0,Late Payment,0.00
108863,33386,33386,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
113062,34560,34560,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
183267,24462,24462,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
89152,27356,27356,Growth,2025-12-01,79,79.0,43.0,Late Payment,0.00
92268,28295,28295,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
124590,38178,38178,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
156930,47650,47650,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
100932,30962,30962,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
91659,28091,28091,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
107315,32984,32984,Growth,2025-12-01,79,79.0,35.0,Late Payment,0.00
183304,26703,26703,Business,2025-12-01,199,199.0,43.0,Late Payment,0.00
128695,39386,39386,Growth,2025-12-01,79,79.0,33.0,Late Payment,0.00
90572,27738,27738,Business,2025-12-01,199,199.0,36.0,Late Payment,0.00
84539,25864,25864,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
102376,31411,31411,Growth,2025-12-01,79,79.0,43.0,Late Payment,0.00
113338,34663,34663,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
103613,31752,31752,Business,2025-12-01,199,199.0,43.0,Late Payment,0.00
100349,30845,30845,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
77794,23619,23619,Business,2025-12-01,199,199.0,42.0,Late Payment,0.00
127153,38931,38931,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
68118,20517,20517,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
161993,49147,49147,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
92532,28377,28377,Business,2025-12-01,199,199.0,36.0,Late Payment,0.00
136716,41748,41748,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
179664,40835,40835,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
154430,46914,46914,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
118611,36335,36335,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
99957,30714,30714,Business,2025-12-01,199,199.0,35.0,Late Payment,0.00
101809,31258,31258,Business,2025-12-01,199,199.0,40.0,Late Payment,0.00
167367,7818,7818,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
82736,25258,25258,Growth,2025-12-01,79,79.0,31.0,Late Payment,0.00
147382,44880,44880,Business,2025-12-01,199,199.0,36.0,Late Payment,0.00
74919,22665,22665,Growth,2025-12-01,79,79.0,33.0,Late Payment,0.00
143136,43565,43565,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
127791,39097,39097,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
99200,30427,30427,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
171170,17529,17529,Growth,2025-12-01,69,69.0,37.0,Late Payment,0.00
133475,40773,40773,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
150305,45722,45722,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
77271,23415,23415,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
140056,42779,42779,Growth,2025-12-01,79,79.0,43.0,Late Payment,0.00
129227,39548,39548,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
167589,8434,8434,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
128497,39325,39325,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
135151,41247,41247,Business,2025-12-01,199,199.0,41.0,Late Payment,0.00
89711,27540,27540,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
120782,36898,36898,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
136746,41758,41758,Starter,2025-12-01,19,19.0,41.0,Late Payment,0.00
94102,28906,28906,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
123003,37629,37629,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
70417,21115,21115,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
62407,18672,18672,Business,2025-12-01,199,199.0,31.0,Late Payment,0.00
76330,23140,23140,Growth,2025-12-01,79,79.0,44.0,Late Payment,0.00
81688,24968,24968,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
102585,31483,31483,Business,2025-12-01,199,199.0,39.0,Late Payment,0.00
120897,36943,36943,Business,2025-12-01,199,199.0,32.0,Late Payment,0.00
166157,4009,4009,Business,2025-12-01,199,199.0,33.0,Late Payment,0.00
183480,38036,38036,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
171069,17225,17225,Growth,2025-12-01,79,79.0,31.0,Late Payment,0.00
128112,39191,39191,Starter,2025-12-01,29,29.0,36.0,Late Payment,0.00
170671,16133,16133,Growth,2025-12-01,79,79.0,45.0,Late Payment,0.00
165601,2731,2731,Growth,2025-12-01,79,79.0,31.0,Late Payment,0.00
78491,23871,23871,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
165227,2037,2037,Growth,2025-12-01,79,79.0,43.0,Late Payment,0.00
66816,20115,20115,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
110571,33876,33876,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
96458,29588,29588,Business,2025-12-01,199,199.0,38.0,Late Payment,0.00
176741,33242,33242,Business,2025-12-01,199,199.0,33.0,Late Payment,0.00
183190,19828,19828,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
180302,42637,42637,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
120948,36950,36950,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
183063,11459,11459,Business,2025-12-01,199,199.0,39.0,Late Payment,0.00
121691,37243,37243,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
117564,36082,36082,Growth,2025-12-01,79,79.0,45.0,Late Payment,0.00
183654,49855,49855,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
150789,45869,45869,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
139194,42488,42488,Growth,2025-12-01,79,79.0,33.0,Late Payment,0.00
64155,19322,19322,Growth,2025-12-01,79,79.0,33.0,Late Payment,0.00
183119,15859,15859,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
67270,20239,20239,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
157900,47867,47867,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
74141,22436,22436,Growth,2025-12-01,79,79.0,31.0,Late Payment,0.00
153201,46579,46579,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
128985,39471,39471,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
68433,20590,20590,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
73452,22216,22216,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
109339,33495,33495,Business,2025-12-01,199,199.0,43.0,Late Payment,0.00
175397,28975,28975,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
159652,48487,48487,Business,2025-12-01,199,199.0,43.0,Late Payment,0.00
172644,21769,21769,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
100897,30946,30946,Growth,2025-12-01,79,79.0,44.0,Late Payment,0.00
107149,32925,32925,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
68493,20599,20599,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
76668,23248,23248,Business,2025-12-01,199,199.0,38.0,Late Payment,0.00
140358,42835,42835,Business,2025-12-01,199,199.0,31.0,Late Payment,0.00
109580,33581,33581,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
123705,37890,37890,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
112492,34405,34405,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
68637,20647,20647,Business,2025-12-01,199,199.0,35.0,Late Payment,0.00
172565,21549,21549,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
66988,20163,20163,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
109185,33456,33456,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
162181,49228,49228,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
120510,36823,36823,Growth,2025-12-01,79,79.0,39.0,Late Payment,0.00
65125,19650,19650,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
140416,42852,42852,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
146732,44669,44669,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
99483,30551,30551,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
74640,22572,22572,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
79561,24225,24225,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
106643,32782,32782,Growth,2025-12-01,79,79.0,35.0,Late Payment,0.00
167417,7946,7946,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
153722,46728,46728,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
149755,45566,45566,Business,2025-12-01,199,199.0,32.0,Late Payment,0.00
80641,24592,24592,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
92234,28288,28288,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
82716,25257,25257,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
109630,33587,33587,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
63594,19111,19111,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
158045,47933,47933,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
180513,43512,43512,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
144425,44010,44010,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
151146,45948,45948,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
116853,35882,35882,Business,2025-12-01,199,199.0,39.0,Late Payment,0.00
181098,44934,44934,Business,2025-12-01,199,199.0,44.0,Late Payment,0.00
82889,25312,25312,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
168463,10248,10248,Growth,2025-12-01,79,79.0,44.0,Late Payment,0.00
131969,40427,40427,Business,2025-12-01,199,199.0,36.0,Late Payment,0.00
117886,36145,36145,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
161274,48981,48981,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
135689,41386,41386,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
177981,37013,37013,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
84475,25851,25851,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
102101,31341,31341,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
152043,46250,46250,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
160880,48886,48886,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
141665,43204,43204,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
183513,40463,40463,Business,2025-12-01,199,199.0,31.0,Late Payment,0.00
170857,16744,16744,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
183198,20411,20411,Business,2025-12-01,199,199.0,35.0,Late Payment,0.00
109798,33658,33658,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
131445,40239,40239,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
173336,23794,23794,Growth,2025-12-01,79,79.0,40.0,Late Payment,0.00
156352,47515,47515,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
153433,46648,46648,Growth,2025-12-01,79,79.0,40.0,Late Payment,0.00
160197,48665,48665,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
100213,30820,30820,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
70073,21008,21008,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
164062,49894,49894,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
118049,36182,36182,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
173459,23977,23977,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
80925,24714,24714,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
68850,20684,20684,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
142650,43445,43445,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
162898,49482,49482,Starter,2025-12-01,29,108.0,43.0,Late Payment,-79.00
145476,44311,44311,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
183123,16247,16247,Business,2025-12-01,199,199.0,36.0,Late Payment,0.00
87260,26699,26699,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
183291,26026,26026,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
68404,20585,20585,Business,2025-12-01,199,199.0,44.0,Late Payment,0.00
128453,39311,39311,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
106398,32693,32693,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
163698,49729,49729,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
85382,26132,26132,Business,2025-12-01,199,199.0,38.0,Late Payment,0.00
122917,37608,37608,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
136304,41595,41595,Starter,2025-12-01,29,29.0,36.0,Late Payment,0.00
108139,33234,33234,Business,2025-12-01,199,199.0,41.0,Late Payment,0.00
178979,39332,39332,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
134050,40962,40962,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
147699,44983,44983,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
170428,15542,15542,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
75726,22975,22975,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
141877,43252,43252,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
172431,21112,21112,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
88427,27062,27062,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
175568,29587,29587,Growth,2025-12-01,79,79.0,40.0,Late Payment,0.00
130345,39874,39874,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
103349,31674,31674,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
154083,46797,46797,Business,2025-12-01,199,199.0,37.0,Late Payment,0.00
68655,20648,20648,Growth,2025-12-01,79,79.0,44.0,Late Payment,0.00
147016,44773,44773,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
81855,25020,25020,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
111156,33988,33988,Growth,2025-12-01,79,79.0,32.0,Late Payment,0.00
163825,49784,49784,Business,2025-12-01,199,199.0,40.0,Late Payment,0.00
85179,26065,26065,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
92764,28484,28484,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
153864,46754,46754,Growth,2025-12-01,79,79.0,40.0,Late Payment,0.00
109708,33599,33599,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
92751,28468,28468,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
163619,49712,49712,Business,2025-12-01,199,199.0,40.0,Late Payment,0.00
183463,37240,37240,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
182972,5895,5895,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
75523,22886,22886,Growth,2025-12-01,79,79.0,40.0,Late Payment,0.00
62287,18653,18653,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
172724,22191,22191,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
144014,43876,43876,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
183138,16981,16981,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
165775,3354,3354,Growth,2025-12-01,79,79.0,35.0,Late Payment,0.00
105481,32339,32339,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
88239,26997,26997,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
136223,41578,41578,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
79441,24198,24198,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
139138,42445,42445,Business,2025-12-01,199,199.0,40.0,Late Payment,0.00
87213,26691,26691,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
133760,40876,40876,Business,2025-12-01,199,199.0,38.0,Late Payment,0.00
119268,36536,36536,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
74662,22574,22574,Business,2025-12-01,199,199.0,39.0,Late Payment,0.00
161530,49039,49039,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
181998,47529,47529,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
177128,34821,34821,Business,2025-12-01,199,199.0,35.0,Late Payment,0.00
71659,21530,21530,Growth,2025-12-01,79,79.0,33.0,Late Payment,0.00
173076,23265,23265,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
174642,27443,27443,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
99410,30525,30525,Starter,2025-12-01,29,29.0,36.0,Late Payment,0.00
122868,37587,37587,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
147759,44985,44985,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
