subscription_id,customer_id,plan_tier,subscription_start,subscription_status
306,306,Starter,2025-06-18,trial_only
307,307,Business,2023-11-02,trial_only
308,308,Growth,2024-07-10,trial_only
309,309,Starter,2025-02-17,trial_only
310,310,Starter,2026-01-06,trial_only
311,311,Growth,2024-08-31,trial_only
312,312,Business,2025-08-20,trial_only
313,313,Starter,2024-05-09,trial_only
314,314,Starter,2024-01-31,trial_only
315,315,Growth,2023-11-21,trial_only
316,316,Business,2025-12-30,active
317,317,Growth,2025-05-11,active
318,318,Growth,2024-03-15,trial_only
319,319,Growth,2024-11-06,trial_only
320,320,Growth,2023-08-29,trial_only
321,321,Growth,2023-02-09,trial_only
322,322,Growth,2023-04-20,trial_only
323,323,Growth,2024-06-06,trial_only
324,324,Business,2024-08-02,trial_only
325,325,Business,2024-10-20,active
326,326,Starter,2024-05-19,trial_only
327,327,Business,2024-04-18,trial_only
328,328,Business,2025-07-04,trial_only
329,329,Starter,2023-12-19,trial_only
330,330,Growth,2025-09-04,active
331,331,Growth,2023-12-26,trial_only
332,332,Business,2024-08-13,active
333,333,Starter,2025-08-15,trial_only
334,334,Business,2023-12-27,trial_only
335,335,Growth,2023-12-06,trial_only
336,336,Growth,2024-04-26,active
337,337,Starter,2023-04-16,trial_only
338,338,Business,2023-11-05,trial_only
339,339,Starter,2024-06-22,trial_only
340,340,Starter,2025-05-14,trial_only
341,341,Growth,2023-10-01,trial_only
342,342,Starter,2026-01-30,trial_only
343,343,Starter,2023-07-20,trial_only
344,344,Starter,2023-12-25,trial_only
345,345,Starter,2025-04-15,trial_only
346,346,Starter,2025-01-25,trial_only
347,347,Starter,2024-08-06,trial_only
348,348,Growth,2025-08-22,cancelled
349,349,Starter,2024-06-07,trial_only
350,350,Starter,2023-01-31,trial_only
351,351,Starter,2024-06-23,trial_only
352,352,Business,2023-08-03,trial_only
353,353,Growth,2023-11-20,trial_only
354,354,Starter,2023-10-01,active
355,355,Growth,2024-03-15,trial_only
356,356,Growth,2025-03-04,trial_only
357,357,Starter,2025-11-25,trial_only
358,358,Starter,2024-10-15,trial_only
359,359,Starter,2025-07-23,trial_only
360,360,Growth,2025-10-23,trial_only
361,361,Starter,2023-12-31,trial_only
362,362,Starter,2025-09-02,trial_only
363,363,Starter,2024-03-28,trial_only
364,364,Starter,2024-04-15,trial_only
365,365,Growth,2024-09-30,trial_only
366,366,Business,2026-01-23,trial_only
367,367,Starter,2024-10-19,trial_only
368,368,Starter,2024-02-11,trial_only
369,369,Growth,2024-08-11,trial_only
370,370,Growth,2023-02-17,active
371,371,Business,2025-07-24,trial_only
372,372,Growth,2024-02-29,trial_only
373,373,Starter,2025-11-03,trial_only
374,374,Starter,2026-02-03,trial_only
375,375,Starter,2024-03-03,trial_only
376,376,Growth,2023-11-10,trial_only
377,377,Growth,2023-03-29,trial_only
378,378,Growth,2023-10-03,trial_only
379,379,Starter,2024-12-05,trial_only
380,380,Growth,2025-08-31,trial_only
381,381,Business,2025-01-16,trial_only
382,382,Starter,2024-11-30,trial_only
383,383,Starter,2025-05-04,trial_only
384,384,Starter,2023-12-16,active
385,385,Growth,2025-01-16,trial_only
386,386,Starter,2025-03-29,trial_only
387,387,Business,2024-02-09,trial_only
388,388,Growth,2025-02-13,trial_only
389,389,Starter,2025-06-16,trial_only
390,390,Growth,2025-09-13,trial_only
391,391,Starter,2026-01-14,trial_only
392,392,Starter,2025-08-13,trial_only
393,393,Business,2026-02-04,trial_only
394,394,Growth,2025-07-06,trial_only
395,395,Growth,2023-02-08,trial_only
396,396,Starter,2024-07-25,trial_only
397,397,Starter,2024-12-16,trial_only
398,398,Starter,2024-02-22,trial_only
399,399,Growth,2024-03-31,trial_only
400,400,Growth,2025-06-15,trial_only
401,401,Starter,2025-07-29,trial_only
402,402,Business,2024-05-14,trial_only
403,403,Starter,2026-01-10,cancelled
404,404,Starter,2023-02-15,trial_only
405,405,Starter,2023-12-03,trial_only
406,406,Business,2024-08-03,active
407,407,Starter,2023-01-25,trial_only
408,408,Starter,2024-11-23,active
409,409,Business,2025-05-15,trial_only
410,410,Starter,2025-07-30,trial_only
411,411,Starter,2023-10-27,trial_only
412,412,Starter,2023-06-17,trial_only
413,413,Starter,2024-01-21,trial_only
414,414,Starter,2023-11-12,active
415,415,Growth,2023-06-10,trial_only
416,416,Starter,2025-12-26,trial_only
417,417,Starter,2024-12-17,trial_only
418,418,Growth,2023-06-05,trial_only
419,419,Growth,2026-01-31,trial_only
420,420,Business,2023-04-09,active
421,421,Starter,2026-02-18,trial_only
422,422,Starter,2023-02-05,active
423,423,Growth,2025-11-10,active
424,424,Growth,2025-09-08,trial_only
425,425,Starter,2026-01-30,trial_only
426,426,Business,2024-04-12,trial_only
427,427,Growth,2023-12-23,trial_only
428,428,Business,2024-02-12,trial_only
429,429,Business,2025-10-14,trial_only
430,430,Starter,2026-02-25,active
431,431,Starter,2025-09-12,trial_only
432,432,Starter,2023-06-22,trial_only
433,433,Growth,2025-04-05,trial_only
434,434,Starter,2024-12-14,trial_only
435,435,Growth,2023-06-30,trial_only
436,436,Growth,2023-02-18,trial_only
437,437,Growth,2023-09-27,trial_only
438,438,Starter,2023-11-13,trial_only
439,439,Growth,2023-08-23,trial_only
440,440,Business,2025-12-06,trial_only
441,441,Starter,2025-08-07,trial_only
442,442,Growth,2024-06-07,trial_only
443,443,Growth,2025-08-25,trial_only
444,444,Business,2023-08-18,trial_only
445,445,Starter,2023-09-17,active
446,446,Business,2023-02-04,trial_only
447,447,Business,2023-08-13,trial_only
448,448,Business,2024-03-16,trial_only
449,449,Starter,2025-10-11,active
450,450,Starter,2025-09-22,trial_only
451,451,Business,2023-03-28,trial_only
452,452,Growth,2023-07-12,trial_only
453,453,Starter,2023-11-10,trial_only
454,454,Starter,2023-10-08,trial_only
455,455,Starter,2024-06-18,trial_only
456,456,Starter,2023-10-17,trial_only
457,457,Starter,2025-08-20,trial_only
458,458,Growth,2023-03-09,cancelled
459,459,Starter,2025-04-06,trial_only
460,460,Growth,2024-05-18,trial_only
461,461,Starter,2024-05-31,active
462,462,Starter,2023-11-18,trial_only
463,463,Business,2024-03-07,active
464,464,Starter,2024-06-07,trial_only
465,465,Growth,2025-07-24,trial_only
466,466,Starter,2024-10-14,trial_only
467,467,Starter,2024-11-11,trial_only
468,468,Growth,2023-01-21,trial_only
469,469,Starter,2024-03-12,active
470,470,Starter,2024-02-09,cancelled
471,471,Starter,2023-12-15,cancelled
472,472,Starter,2023-12-19,trial_only
473,473,Business,2025-05-12,trial_only
474,474,Growth,2026-01-31,trial_only
475,475,Starter,2023-10-11,trial_only
476,476,Growth,2023-03-21,trial_only
477,477,Business,2024-11-23,trial_only
478,478,Starter,2026-01-07,trial_only
479,479,Growth,2024-11-02,cancelled
480,480,Starter,2025-03-06,cancelled
481,481,Business,2023-12-10,trial_only
482,482,Business,2024-06-16,cancelled
483,483,Business,2025-05-26,trial_only
484,484,Business,2024-03-11,trial_only
485,485,Business,2023-11-20,trial_only
486,486,Starter,2025-04-08,trial_only
487,487,Business,2025-05-10,trial_only
488,488,Business,2025-09-03,trial_only
489,489,Starter,2025-01-05,trial_only
490,490,Growth,2025-12-16,trial_only
491,491,Starter,2024-08-27,trial_only
492,492,Business,2023-12-01,trial_only
493,493,Business,2025-10-22,active
494,494,Starter,2024-04-04,trial_only
495,495,Starter,2023-10-28,trial_only
496,496,Growth,2023-07-05,trial_only
497,497,Business,2023-10-05,trial_only
498,498,Growth,2025-08-14,trial_only
499,499,Starter,2023-06-06,trial_only
500,500,Starter,2024-10-04,trial_only
501,501,Starter,2024-08-30,trial_only
502,502,Business,2024-03-06,trial_only
503,503,Growth,2023-02-09,trial_only
504,504,Starter,2024-10-03,trial_only
505,505,Starter,2023-04-19,active
506,506,Business,2023-11-16,trial_only
507,507,Growth,2023-07-19,trial_only
508,508,Starter,2023-10-25,trial_only
509,509,Starter,2024-12-01,trial_only
510,510,Growth,2025-05-27,trial_only
511,511,Starter,2024-11-30,trial_only
512,512,Starter,2024-11-11,trial_only
513,513,Starter,2025-11-18,cancelled
514,514,Growth,2025-06-23,active
515,515,Starter,2025-04-10,trial_only
516,516,Starter,2023-12-22,trial_only
517,517,Growth,2024-09-10,trial_only
518,518,Growth,2025-01-18,trial_only
519,519,Business,2025-04-13,trial_only
520,520,Starter,2025-07-10,trial_only
521,521,Growth,2026-02-20,trial_only
522,522,Starter,2024-07-08,trial_only
523,523,Growth,2024-03-29,trial_only
524,524,Business,2025-09-29,trial_only
525,525,Starter,2024-11-11,cancelled
526,526,Growth,2024-02-03,trial_only
527,527,Starter,2024-08-19,active
528,528,Starter,2023-06-24,active
529,529,Growth,2024-03-22,trial_only
530,530,Starter,2024-09-21,trial_only
531,531,Growth,2024-05-17,trial_only
532,532,Growth,2023-12-24,trial_only
533,533,Starter,2023-05-04,trial_only
534,534,Growth,2025-05-13,trial_only
535,535,Business,2023-11-12,trial_only
536,536,Business,2024-12-20,trial_only
537,537,Growth,2026-01-14,trial_only
538,538,Starter,2023-10-11,active
539,539,Starter,2024-05-07,trial_only
540,540,Growth,2023-07-10,trial_only
541,541,Business,2023-09-11,active
542,542,Starter,2025-06-26,active
543,543,Growth,2024-09-16,trial_only
544,544,Starter,2025-05-23,trial_only
545,545,Business,2024-05-21,cancelled
546,546,Starter,2023-04-24,trial_only
547,547,Starter,2023-12-10,trial_only
548,548,Starter,2024-04-04,trial_only
549,549,Starter,2025-10-09,trial_only
550,550,Starter,2023-11-06,active
551,551,Growth,2024-04-01,active
552,552,Growth,2025-03-20,trial_only
553,553,Starter,2025-06-24,trial_only
554,554,Starter,2023-02-15,trial_only
555,555,Growth,2026-03-15,trial_only
556,556,Starter,2024-03-28,trial_only
557,557,Growth,2023-10-28,trial_only
558,558,Growth,2023-11-02,trial_only
559,559,Starter,2024-01-18,trial_only
560,560,Growth,2024-05-15,trial_only
561,561,Growth,2024-07-23,trial_only
562,562,Starter,2023-07-02,trial_only
563,563,Starter,2025-02-24,active
564,564,Starter,2023-04-03,trial_only
565,565,Starter,2025-05-15,trial_only
566,566,Growth,2026-01-28,trial_only
567,567,Growth,2025-06-25,trial_only
568,568,Starter,2024-11-06,trial_only
569,569,Starter,2024-08-26,trial_only
570,570,Starter,2025-02-15,trial_only
571,571,Starter,2024-08-02,trial_only
572,572,Growth,2025-04-06,trial_only
573,573,Growth,2023-11-13,trial_only
574,574,Growth,2023-11-04,trial_only
575,575,Starter,2023-11-05,trial_only
576,576,Growth,2023-05-04,trial_only
577,577,Business,2024-01-15,trial_only
578,578,Growth,2024-09-06,trial_only
579,579,Starter,2024-11-23,trial_only
580,580,Starter,2023-04-18,active
581,581,Starter,2026-01-07,trial_only
582,582,Starter,2024-03-18,trial_only
583,583,Starter,2024-10-14,trial_only
584,584,Starter,2024-01-18,trial_only
585,585,Starter,2023-04-30,trial_only
586,586,Starter,2023-08-12,trial_only
587,587,Growth,2025-10-23,trial_only
588,588,Business,2024-05-03,trial_only
589,589,Starter,2026-01-04,trial_only
590,590,Growth,2023-01-27,trial_only
591,591,Growth,2024-04-25,trial_only
592,592,Business,2024-10-25,trial_only
593,593,Starter,2026-01-17,cancelled
594,594,Growth,2025-06-08,trial_only
595,595,Growth,2024-02-05,trial_only
596,596,Starter,2025-06-17,active
597,597,Starter,2024-07-23,trial_only
598,598,Business,2025-12-13,active
599,599,Starter,2024-10-30,active
600,600,Starter,2025-05-29,trial_only
601,601,Starter,2025-09-30,trial_only
602,602,Starter,2024-01-03,trial_only
603,603,Starter,2024-06-12,trial_only
604,604,Growth,2025-03-29,trial_only
605,605,Starter,2023-12-24,active
606,606,Starter,2023-12-17,trial_only
607,607,Business,2023-02-08,trial_only
608,608,Starter,2025-06-18,active
609,609,Business,2023-04-29,trial_only
610,610,Starter,2024-08-11,trial_only
611,611,Business,2025-02-28,trial_only
612,612,Starter,2025-06-20,trial_only
613,613,Starter,2023-09-15,trial_only
614,614,Business,2023-12-23,trial_only
615,615,Business,2024-10-09,trial_only
616,616,Business,2025-05-29,trial_only
617,617,Business,2023-07-07,trial_only
618,618,Growth,2023-04-28,trial_only
619,619,Growth,2023-06-24,trial_only
620,620,Growth,2024-12-29,trial_only
621,621,Starter,2024-07-25,trial_only
622,622,Growth,2024-08-13,trial_only
623,623,Starter,2023-07-30,trial_only
624,624,Business,2025-09-30,trial_only
625,625,Growth,2025-08-06,trial_only
626,626,Starter,2023-03-26,trial_only
627,627,Growth,2025-05-07,trial_only
628,628,Business,2023-09-19,trial_only
629,629,Growth,2023-12-10,trial_only
630,630,Starter,2023-06-22,trial_only
631,631,Starter,2025-07-21,trial_only
632,632,Starter,2024-12-13,trial_only
633,633,Growth,2025-01-27,active
634,634,Starter,2024-08-22,active
635,635,Starter,2023-03-11,trial_only
636,636,Starter,2024-05-15,trial_only
637,637,Starter,2024-02-29,active
638,638,Growth,2025-09-01,trial_only
639,639,Starter,2025-07-08,trial_only
640,640,Starter,2025-01-11,trial_only
641,641,Starter,2025-11-19,active
642,642,Growth,2023-06-11,active
643,643,Growth,2025-11-29,trial_only
644,644,Starter,2023-12-14,trial_only
645,645,Growth,2023-11-01,active
646,646,Growth,2024-08-07,trial_only
647,647,Growth,2025-03-16,trial_only
648,648,Starter,2025-07-12,trial_only
649,649,Growth,2026-03-06,cancelled
650,650,Business,2023-02-11,trial_only
651,651,Growth,2026-01-09,cancelled
652,652,Starter,2026-02-13,trial_only
653,653,Growth,2025-07-29,trial_only
654,654,Growth,2024-02-07,trial_only
655,655,Starter,2026-02-06,trial_only
656,656,Starter,2026-01-10,active
657,657,Starter,2023-09-22,trial_only
658,658,Business,2023-06-06,trial_only
659,659,Growth,2023-10-09,cancelled
660,660,Growth,2023-08-18,trial_only
661,661,Starter,2024-05-18,trial_only
662,662,Growth,2024-05-25,trial_only
663,663,Starter,2024-05-09,active
664,664,Starter,2024-10-19,trial_only
665,665,Growth,2023-01-16,trial_only
666,666,Starter,2025-11-13,trial_only
667,667,Starter,2025-05-05,trial_only
668,668,Growth,2024-01-30,trial_only
669,669,Starter,2025-05-08,trial_only
670,670,Growth,2023-11-13,trial_only
671,671,Growth,2024-10-26,trial_only
672,672,Starter,2025-04-03,trial_only
673,673,Starter,2023-12-20,trial_only
674,674,Growth,2025-10-10,trial_only
675,675,Starter,2024-11-11,trial_only
676,676,Business,2024-02-23,active
677,677,Growth,2023-09-19,trial_only
678,678,Business,2024-07-27,trial_only
679,679,Growth,2025-03-03,trial_only
680,680,Starter,2023-05-06,trial_only
681,681,Starter,2025-09-29,trial_only
682,682,Starter,2025-04-07,trial_only
683,683,Business,2025-08-02,cancelled
684,684,Starter,2025-06-19,trial_only
685,685,Starter,2025-07-12,trial_only
686,686,Starter,2025-03-16,trial_only
687,687,Starter,2023-11-03,trial_only
688,688,Starter,2023-07-09,trial_only
689,689,Growth,2023-05-04,active
690,690,Growth,2025-09-03,active
691,691,Starter,2025-05-12,trial_only
692,692,Starter,2025-11-18,trial_only
693,693,Growth,2024-12-08,trial_only
694,694,Starter,2025-09-05,trial_only
695,695,Growth,2023-02-27,trial_only
696,696,Starter,2024-04-20,active
697,697,Growth,2026-02-14,trial_only
698,698,Starter,2024-12-20,trial_only
699,699,Starter,2025-11-13,trial_only
700,700,Business,2023-06-13,trial_only
701,701,Business,2023-12-19,trial_only
702,702,Growth,2025-10-14,active
703,703,Growth,2023-08-27,trial_only
704,704,Growth,2026-02-22,trial_only
705,705,Starter,2024-01-04,trial_only
706,706,Growth,2026-01-27,trial_only
707,707,Growth,2024-07-23,active
708,708,Starter,2023-03-22,trial_only
709,709,Growth,2024-09-27,trial_only
710,710,Growth,2026-01-29,trial_only
711,711,Growth,2023-04-09,trial_only
712,712,Business,2023-08-30,active
713,713,Growth,2025-06-25,trial_only
714,714,Starter,2025-10-24,trial_only
715,715,Growth,2023-02-04,trial_only
716,716,Growth,2025-12-09,trial_only
717,717,Starter,2025-02-08,trial_only
