customer_id,templates_used,workflows_created,days_active_during_trial,integrations_connected
128,1,0,2,2
129,2,0,2,1
130,1,1,6,3
131,2,5,5,5
132,2,3,6,1
133,1,2,5,0
134,3,1,3,1
135,2,0,4,1
136,1,0,6,0
137,0,2,1,1
138,0,1,1,3
139,1,0,3,1
140,0,2,4,1
141,2,0,2,2
142,2,0,1,0
143,0,0,1,1
144,2,0,5,1
145,6,1,6,2
146,2,1,1,1
147,1,2,4,1
148,1,2,1,2
149,0,1,2,0
150,6,2,8,4
151,1,0,1,0
152,8,2,9,1
153,1,0,2,0
154,1,1,5,1
155,4,5,9,1
156,0,1,2,1
157,1,0,4,0
158,3,2,4,1
159,4,3,6,2
160,6,2,12,3
161,0,2,1,0
162,3,2,6,1
163,2,2,2,1
164,0,3,1,0
165,1,2,14,1
166,5,2,7,4
167,4,1,2,0
168,2,2,2,3
169,2,1,5,0
170,2,1,5,1
171,1,1,6,0
172,0,1,3,1
173,4,0,4,2
174,0,1,6,2
175,2,2,5,1
176,1,1,1,1
177,1,1,2,2
178,0,0,1,0
179,3,0,5,2
180,4,2,5,0
181,0,1,1,0
182,2,0,3,0
183,5,4,6,4
184,1,0,6,0
185,0,0,4,0
186,0,1,6,1
187,0,1,5,1
188,1,1,2,2
189,6,3,13,2
190,6,4,5,2
191,0,2,1,0
192,1,0,3,0
193,1,3,3,0
194,3,3,1,0
195,4,1,11,5
196,1,1,2,0
197,2,0,6,0
198,0,3,4,1
199,1,1,4,0
200,1,1,1,0
201,1,2,1,0
202,3,3,14,0
203,0,1,1,0
204,1,0,5,0
205,0,0,6,1
206,1,0,5,3
207,4,3,6,1
208,0,1,5,0
209,5,4,5,1
210,1,1,4,1
211,2,2,1,1
212,0,0,2,0
213,1,1,4,0
214,7,5,5,0
215,3,1,4,1
216,4,4,7,3
217,1,3,2,0
218,2,1,2,1
219,4,1,8,2
220,0,0,4,1
221,3,1,2,2
222,6,4,10,1
223,0,1,4,0
224,6,3,13,1
225,0,1,5,2
226,1,1,5,0
227,4,1,3,0
228,2,5,9,5
229,5,3,10,2
230,2,1,6,0
231,2,0,4,1
232,5,4,5,3
233,0,0,3,1
234,4,2,5,3
235,1,0,3,0
236,2,2,4,0
237,0,0,6,0
238,1,1,6,1
239,3,2,9,3
240,0,0,3,1
241,1,0,1,0
242,1,2,2,0
243,1,1,3,0
244,4,6,9,2
245,1,2,6,0
246,2,1,2,0
247,0,3,2,2
248,0,1,3,1
249,1,2,6,0
250,7,3,14,1
251,1,0,5,0
252,2,0,2,3
253,2,1,3,1
254,0,3,4,0
255,2,0,2,1
256,2,0,5,0
257,2,0,2,0
258,4,2,4,0
259,2,4,7,3
260,4,1,9,2
261,0,0,6,1
262,2,3,4,1
263,0,2,1,0
264,1,1,2,1
265,3,0,3,1
266,3,1,4,0
267,0,0,4,1
268,6,5,9,1
269,2,2,9,1
270,2,0,2,0
271,1,3,3,1
272,1,0,2,0
273,1,2,1,1
274,1,0,5,1
275,2,1,5,0
276,1,1,5,0
277,0,1,5,0
278,4,2,5,0
279,1,2,1,2
280,0,3,3,0
281,0,0,6,0
282,5,4,6,1
283,2,0,2,0
284,1,3,4,2
285,1,0,1,1
286,1,2,5,2
287,1,0,4,1
288,0,2,1,1
289,7,2,6,3
290,3,2,3,0
291,4,3,8,3
292,0,2,6,2
293,3,3,14,2
294,0,0,5,0
295,2,3,2,1
296,1,2,2,2
297,1,1,6,3
298,0,2,6,0
299,6,2,14,1
300,1,4,11,2
301,3,1,2,1
302,1,0,4,1
303,2,0,4,0
304,0,1,1,0
305,1,0,3,2
306,2,2,4,1
307,0,0,3,0
308,1,0,5,1
309,2,0,5,3
310,0,1,6,1
311,0,2,2,3
312,0,2,1,1
313,2,2,4,0
314,0,1,4,0
315,3,2,5,2
316,4,1,13,3
317,4,4,7,1
318,1,0,5,0
319,1,3,5,0
320,2,3,2,1
321,2,0,1,2
322,4,0,5,1
323,2,0,2,1
324,0,0,3,0
325,4,2,6,2
326,0,0,3,0
327,1,2,2,1
328,1,0,5,1
329,2,1,6,0
330,6,4,7,4
331,1,2,3,2
332,3,3,12,1
333,1,2,4,0
334,0,0,6,1
335,1,1,4,0
336,4,3,10,2
337,2,0,6,1
338,0,0,6,0
339,4,3,6,0
340,1,1,3,1
341,0,1,5,0
342,1,1,2,1
343,0,3,4,2
344,1,1,4,0
345,0,2,5,0
346,3,2,1,0
347,1,1,2,1
348,5,2,11,1
349,3,2,5,1
350,1,2,5,0
351,3,0,6,3
352,1,1,5,1
353,1,0,3,2
354,7,3,12,1
355,2,1,3,1
356,1,1,3,1
357,3,1,6,1
358,2,2,3,1
359,2,0,1,0
360,0,3,6,0
361,0,0,6,0
362,1,1,3,0
363,3,1,2,1
364,3,2,5,1
365,0,1,6,2
366,2,1,3,0
367,0,2,5,0
368,3,1,1,1
369,1,0,1,1
370,4,2,5,3
371,0,1,6,1
372,0,3,5,0
373,1,0,5,1
374,0,0,2,3
375,1,0,3,1
376,1,1,4,2
377,1,0,2,0
378,1,0,4,0
379,0,3,1,0
380,1,1,1,0
381,2,2,3,0
382,3,1,3,1
383,0,0,3,0
384,5,1,9,3
385,0,1,2,3
386,1,0,4,1
387,2,1,6,0
388,2,1,2,1
389,1,0,1,0
390,1,1,3,1
391,0,0,4,3
392,2,1,6,2
393,2,0,2,2
394,2,0,1,0
395,1,0,6,0
396,0,2,6,1
397,3,2,4,2
398,0,0,6,0
399,1,0,6,3
400,3,0,1,1
401,4,1,6,1
402,2,0,5,2
403,5,6,12,1
404,0,0,5,0
405,0,0,5,0
406,3,2,10,1
407,1,2,6,1
408,5,2,12,3
409,1,1,6,2
410,1,0,2,0
411,2,0,3,2
412,0,2,4,2
413,2,0,3,0
414,5,6,9,3
415,1,2,3,1
416,2,0,4,0
417,0,2,2,0
418,1,0,1,2
419,0,1,2,1
420,5,3,10,0
421,3,0,4,0
422,6,2,12,2
423,8,1,11,2
424,1,0,2,0
425,0,0,1,2
426,0,0,6,0
427,3,0,5,2
428,1,0,3,0
429,2,0,1,1
430,5,5,9,0
431,3,1,3,0
432,1,0,2,1
433,1,1,6,0
434,3,0,2,1
435,2,2,3,0
436,1,2,3,2
437,0,0,5,1
438,0,3,6,1
439,2,0,6,0
440,4,1,5,3
441,0,0,3,2
442,0,3,2,0
443,1,2,1,1
444,1,2,3,0
445,5,3,14,2
446,0,2,3,2
447,1,1,5,1
448,1,0,4,0
449,6,3,7,3
450,1,1,5,1
451,0,0,3,0
452,4,1,6,0
453,2,0,5,1
454,0,0,6,0
455,0,0,1,1
456,1,3,3,0
457,0,1,4,2
458,1,2,9,5
459,1,1,3,0
460,1,0,6,1
461,3,2,8,3
462,1,0,3,3
463,5,4,9,2
464,1,0,3,1
465,0,0,2,3
466,0,3,5,1
467,0,1,4,1
468,0,0,6,3
469,4,1,9,2
470,3,3,7,2
471,4,5,5,1
472,3,0,4,0
473,0,3,4,0
474,4,1,1,1
475,2,0,2,2
476,2,1,6,0
477,1,1,5,1
478,0,1,4,1
479,6,3,13,2
480,5,3,11,2
481,3,1,6,1
482,3,4,6,1
483,0,3,5,0
484,1,1,1,0
485,1,1,3,0
486,4,2,1,0
487,0,1,6,1
488,1,3,1,1
489,0,0,2,0
490,1,0,2,0
491,1,0,6,3
492,1,0,2,1
493,3,3,14,2
494,0,0,5,0
495,0,0,3,0
496,2,0,5,3
497,1,1,4,0
498,1,0,1,0
499,0,0,3,2
500,2,0,6,1
501,2,1,2,0
502,1,0,3,2
503,2,0,1,1
504,0,1,2,1
505,3,1,10,2
506,1,0,3,3
507,0,2,3,1
508,0,3,6,0
509,1,0,1,2
510,1,2,3,0
511,1,1,2,0
512,1,2,3,0
513,4,5,13,2
514,1,3,11,1
515,0,2,4,0
516,0,3,5,0
517,0,3,2,3
518,1,2,3,1
519,1,0,5,0
520,1,0,4,2
521,1,1,1,3
522,1,0,2,1
523,3,1,1,0
524,1,2,1,3
525,5,6,7,2
526,0,1,5,0
527,3,3,13,0
528,4,3,11,2
529,1,0,2,0
530,1,0,5,0
531,3,2,4,1
532,1,1,4,2
533,1,2,2,0
534,1,3,4,0
535,3,0,3,0
536,3,2,5,0
537,1,0,6,0
538,5,3,11,3
539,3,0,6,2
540,1,1,6,1
541,3,2,11,2
542,4,4,11,2
543,1,0,1,0
544,1,1,5,0
545,5,2,7,2
546,0,0,6,0
547,2,0,3,1
548,1,1,1,2
549,1,0,4,1
550,3,3,13,3
551,7,3,9,1
552,1,3,1,0
553,0,0,3,0
554,1,0,2,2
555,0,0,5,0
556,1,0,1,0
557,1,0,2,0
558,2,1,4,0
559,2,2,5,3
560,1,2,6,2
561,1,0,3,0
562,2,3,3,3
563,6,1,10,3
564,1,1,2,0
565,2,1,6,0
566,0,2,1,0
567,0,1,3,3
568,2,1,4,2
569,2,1,1,3
570,0,1,4,3
571,2,0,6,3
572,0,1,4,2
573,0,3,3,1
574,0,1,4,0
575,3,3,6,2
576,0,0,5,0
577,0,0,5,2
578,2,0,4,1
579,1,2,5,0
580,5,4,10,2
581,0,1,5,0
582,2,2,6,0
583,3,3,3,0
584,3,1,1,0
585,1,3,2,1
586,1,0,1,0
587,1,2,6,0
588,3,0,2,2
589,2,0,3,1
590,4,3,6,0
591,2,1,1,1
592,1,1,6,0
593,2,4,11,1
594,2,1,1,0
595,1,0,4,1
596,3,3,14,3
597,0,2,1,0
598,6,2,6,2
599,3,4,12,5
600,2,1,5,1
601,3,0,4,0
602,4,1,1,0
603,1,2,5,1
604,1,0,3,1
605,3,3,7,3
606,2,3,2,0
607,1,0,1,1
608,3,4,12,4
609,0,3,6,0
610,3,1,1,0
611,1,1,6,0
612,1,0,4,0
613,1,0,2,0
614,0,3,1,3
615,1,0,1,0
616,2,3,4,1
617,2,0,6,0
618,1,0,3,0
619,0,0,2,2
620,2,0,6,3
621,2,0,3,1
622,2,0,3,1
623,3,1,3,2
624,3,0,3,1
625,0,1,6,1
626,1,1,4,1
627,0,3,6,0
628,1,1,2,0
629,1,3,4,1
630,1,1,4,0
631,2,0,5,0
632,2,0,3,2
633,5,3,11,4
634,4,3,13,5
635,3,2,1,0
636,1,3,1,0
637,5,3,7,1
638,0,1,2,0
639,0,0,4,1
640,1,0,1,0
641,4,1,6,2
642,5,1,13,5
643,1,0,1,0
644,1,0,4,0
645,3,2,14,3
646,1,2,5,2
647,1,1,3,1
648,0,2,6,1
649,5,4,9,2
650,1,3,5,3
651,6,2,11,2
652,0,1,6,2
653,2,0,5,1
654,1,1,2,0
655,1,0,6,0
656,2,2,14,2
657,3,3,5,3
658,0,1,3,0
659,4,3,9,5
660,3,3,6,1
661,2,3,5,1
662,1,3,1,0
663,5,4,14,3
664,1,1,3,0
665,2,0,4,0
666,3,0,5,0
667,4,1,1,0
668,2,2,1,1
669,1,1,1,0
670,0,0,3,0
671,2,0,3,1
672,0,1,5,1
673,2,1,6,0
674,1,2,1,0
675,2,0,1,0
676,4,2,11,3
677,3,0,3,0
678,0,3,5,0
679,4,0,6,1
680,1,2,1,1
681,0,0,5,0
682,1,2,6,0
683,5,2,11,4
684,0,0,3,0
685,0,2,1,0
686,1,3,1,3
687,4,2,4,0
688,0,1,2,0
689,5,2,11,1
690,4,2,5,1
691,2,0,5,0
692,1,1,5,2
693,3,0,2,0
694,1,1,5,1
695,2,1,5,1
696,2,1,13,2
697,1,1,3,0
698,3,1,5,0
699,1,1,1,3
700,2,0,2,1
701,2,0,1,2
702,5,5,8,2
703,0,2,4,0
704,1,1,5,0
705,2,0,3,0
706,3,1,5,3
707,4,3,9,0
708,2,3,5,1
709,2,0,2,2
710,1,0,2,0
711,1,1,5,1
712,7,3,9,1
713,0,1,3,1
714,3,0,5,1
715,1,0,5,0
716,2,1,5,1
717,1,2,5,1
718,0,0,3,2
719,3,3,14,1
720,2,5,5,2
721,3,3,3,1
722,2,0,2,0
723,2,4,13,1
724,1,0,5,1
725,1,2,6,0
726,1,1,5,0
727,5,4,5,5
728,3,2,3,0
729,4,3,2,0
730,3,0,1,0
731,0,2,1,1
732,1,1,6,1
733,0,2,1,0
734,0,1,6,3
735,5,2,5,3
736,2,2,6,0
737,1,1,6,2
738,1,0,5,1
739,7,4,7,3
740,6,4,6,3
741,1,1,6,1
742,2,3,1,0
743,4,1,5,0
744,7,4,9,5
745,1,3,11,1
746,3,0,5,2
747,0,1,3,0
748,0,1,1,1
749,3,1,1,2
750,0,0,3,3
751,3,1,9,3
752,3,1,3,1
753,0,1,4,3
754,1,0,6,0
755,4,2,9,2
756,2,3,1,3
757,0,0,1,2
758,0,1,2,0
759,3,1,4,0
760,3,4,14,2
761,0,0,5,0
762,3,0,1,0
763,0,0,2,0
764,2,1,4,1
765,1,0,4,0
766,1,2,2,3
767,3,3,6,1
768,3,3,9,3
769,3,0,2,2
770,0,1,3,0
771,2,0,2,2
772,1,2,6,3
773,1,3,2,1
774,5,2,12,3
775,1,0,4,0
776,2,0,5,3
777,1,0,6,0
778,2,2,6,1
779,1,3,4,0
780,4,4,9,1
781,0,0,2,3
782,1,0,6,0
783,0,3,4,1
784,3,2,5,3
785,1,1,3,1
786,1,3,4,1
787,3,6,7,4
788,2,3,6,2
789,6,2,11,1
790,3,4,9,3
791,0,1,2,3
792,3,2,12,2
793,2,1,5,0
794,0,0,2,0
795,1,2,1,1
796,1,3,2,0
797,0,1,2,0
798,1,0,1,2
799,3,2,9,3
800,2,0,6,0
801,1,1,2,1
802,1,1,5,0
803,2,0,3,1
804,2,0,6,0
805,0,1,2,3
806,1,2,1,0
807,3,0,1,2
808,2,0,2,0
809,1,0,2,1
810,0,1,2,0
811,1,0,5,0
812,0,1,6,1
813,1,1,1,0
814,5,3,8,1
815,0,2,1,1
816,3,5,9,1
817,0,2,4,0
818,1,1,5,0
819,4,4,7,1
820,1,0,4,0
821,4,0,5,1
822,1,1,4,0
823,0,1,6,1
824,1,1,5,1
825,0,1,6,2
826,3,3,3,0
827,1,1,2,1
828,3,2,12,1
829,0,0,2,1
830,0,1,5,0
831,0,0,6,1
832,3,1,1,2
833,1,0,3,1
834,2,0,1,2
835,3,0,4,3
836,4,3,14,1
837,1,2,5,2
838,6,3,5,2
839,0,1,3,1
840,2,0,5,1
841,2,1,4,0
842,0,1,5,1
843,1,1,5,0
844,2,1,3,0
845,1,1,5,1
846,1,0,3,1
847,0,1,3,1
848,4,2,5,3
849,1,0,5,0
850,0,1,5,0
851,4,1,4,0
852,3,2,4,0
853,2,0,3,1
854,1,1,2,0
855,1,2,2,0
856,2,0,5,0
857,0,0,5,0
858,1,0,5,0
859,2,1,6,1
860,1,2,5,2
861,0,1,5,0
862,0,0,1,1
863,1,1,2,0
864,0,0,1,0
865,2,2,6,1
866,0,3,1,0
867,1,0,2,3
868,0,0,6,0
869,4,2,10,2
870,3,1,4,2
871,3,0,1,0
872,1,0,1,0
873,0,0,6,2
874,2,1,4,1
875,3,1,2,2
876,2,0,4,0
877,1,4,7,2
878,1,3,2,0
879,4,1,5,1
880,2,0,3,0
881,1,1,4,0
882,0,0,1,0
883,1,3,2,0
884,1,0,1,1
885,3,4,9,0
886,0,0,4,3
887,1,0,4,0
888,1,0,1,1
889,4,3,14,0
890,0,0,2,0
891,0,2,6,1
892,3,2,4,0
893,0,3,1,1
894,4,0,5,0
895,4,2,8,1
896,2,2,3,2
897,2,0,3,1
898,1,0,3,0
899,1,2,3,2
900,0,0,4,0
901,4,0,3,1
902,1,0,3,0
903,2,1,4,3
904,2,0,4,2
905,1,1,5,0
906,0,1,6,2
907,2,5,9,3
908,4,1,4,0
909,5,2,9,2
910,0,3,3,0
911,0,1,5,2
912,0,0,6,0
913,8,6,5,2
914,5,4,6,2
915,2,0,5,1
916,0,1,4,2
917,1,1,4,0
918,0,0,2,1
919,1,3,3,0
920,1,0,5,0
921,5,6,12,3
922,1,1,3,1
923,4,4,12,1
924,5,3,11,2
925,1,0,5,1
926,0,0,3,0
927,2,0,4,1
928,1,0,1,1
929,2,1,5,0
930,4,4,11,2
931,0,0,4,1
932,4,3,12,2
933,1,0,5,0
934,0,0,2,1
935,3,3,4,0
936,4,1,5,0
937,2,0,4,2
938,0,1,6,1
939,1,0,5,0
940,0,1,2,0
941,2,0,3,1
942,2,3,14,3
943,1,0,5,0
944,3,1,3,1
945,1,1,3,0
946,0,0,4,0
947,4,0,2,0
948,1,2,1,1
949,0,2,1,0
950,2,0,2,2
951,3,2,14,1
952,2,2,6,0
953,3,5,5,1
954,2,3,12,2
955,1,3,5,1
956,0,3,2,1
957,0,0,5,2
958,2,0,5,1
959,4,0,3,1
960,1,0,4,0
961,1,0,2,0
962,1,1,3,0
963,3,1,4,2
964,2,3,6,0
965,4,3,13,1
966,6,4,10,1
967,2,0,4,2
968,3,4,13,1
969,2,1,1,2
970,1,3,5,2
971,0,0,3,1
972,1,0,5,0
973,5,3,7,3
974,2,1,5,1
975,3,0,3,1
976,4,3,5,2
977,1,0,6,2
978,1,1,6,0
979,3,3,4,3
980,1,0,3,0
981,2,0,3,1
982,0,1,1,0
983,1,3,3,0
984,3,1,12,3
985,0,0,3,1
986,3,0,6,0
987,3,1,1,0
988,1,0,5,1
989,0,0,1,0
990,0,1,5,0
991,4,0,3,2
992,1,1,4,0
993,3,4,7,2
994,1,1,3,1
995,3,1,1,0
996,2,3,3,0
997,4,4,8,3
998,6,6,14,2
999,1,0,5,0
1000,1,1,4,1
1001,2,1,6,0
1002,0,0,3,2
1003,1,0,4,0
1004,1,0,1,0
1005,3,1,8,3
1006,3,1,4,2
1007,1,0,2,2
1008,1,2,1,1
1009,0,1,3,1
1010,3,2,12,1
1011,2,0,6,0
1012,1,1,1,0
1013,1,2,3,1
1014,1,0,3,1
1015,3,1,1,0
1016,2,1,6,0
1017,4,1,3,0
1018,3,4,13,4
1019,4,0,4,2
1020,7,2,5,2
1021,3,1,6,0
1022,3,1,2,0
1023,3,1,4,0
1024,1,1,1,0
1025,1,1,5,0
1026,0,1,2,0
1027,1,2,4,0
1028,0,3,5,0
1029,1,2,6,0
1030,2,2,5,0
1031,1,2,5,1
1032,4,0,2,1
1033,3,0,6,0
1034,2,1,2,2
1035,1,1,3,1
1036,3,0,6,0
1037,2,1,4,3
1038,1,1,1,0
1039,0,3,4,1
1040,0,1,5,0
1041,1,0,5,0
1042,0,0,2,0
1043,3,1,6,0
1044,0,1,1,0
1045,2,0,6,0
1046,2,0,4,2
1047,1,1,3,1
1048,0,0,2,0
1049,0,2,1,1
1050,6,2,14,2
1051,3,2,8,1
1052,3,2,2,3
1053,0,0,2,0
1054,3,2,13,2
1055,2,1,5,3
1056,0,0,4,1
1057,1,1,6,3
1058,1,1,1,1
1059,1,0,1,1
1060,3,3,10,2
1061,0,1,1,0
1062,1,0,2,2
1063,6,1,6,4
1064,0,0,4,0
1065,3,1,6,0
1066,2,1,4,0
1067,3,2,14,4
1068,0,2,3,1
1069,0,1,5,1
1070,0,2,2,0
1071,6,3,9,2
1072,7,3,10,3
1073,2,0,4,0
1074,2,3,14,2
1075,1,2,2,0
1076,5,2,6,2
1077,0,0,3,2
1078,1,3,5,0
1079,3,0,4,1
1080,3,3,5,2
1081,3,1,3,0
1082,1,0,2,2
1083,4,3,12,2
1084,4,0,1,1
1085,3,2,5,0
1086,1,1,5,2
1087,1,0,1,0
1088,1,1,6,0
1089,0,3,4,1
1090,1,0,4,0
1091,1,3,4,0
1092,2,1,3,1
1093,2,0,5,0
1094,1,0,4,0
1095,4,2,6,1
1096,2,3,1,1
1097,7,5,12,2
1098,5,1,5,3
1099,1,0,2,0
1100,0,3,5,0
1101,3,0,2,0
1102,4,2,10,1
1103,1,2,3,1
1104,1,1,5,2
1105,3,0,2,2
1106,0,0,3,1
1107,0,2,6,1
1108,4,3,8,2
1109,2,0,6,0
1110,0,0,2,1
1111,2,1,6,0
1112,0,0,6,0
1113,1,0,3,1
1114,1,0,2,0
1115,7,3,5,1
1116,0,0,3,0
1117,0,0,4,1
1118,5,4,14,2
1119,0,1,1,0
1120,0,0,6,2
1121,1,1,4,0
1122,0,0,1,1
1123,1,2,1,1
1124,0,0,4,1
1125,6,4,11,1
1126,5,4,7,1
1127,0,0,5,0
1128,1,0,4,0
1129,0,0,4,0
1130,0,0,2,0
1131,1,0,4,0
1132,1,3,3,2
1133,1,3,6,0
1134,1,0,6,0
1135,4,1,6,0
1136,5,1,8,1
1137,0,1,5,1
1138,1,0,4,0
1139,2,0,3,0
1140,6,3,14,2
1141,0,0,6,1
1142,2,3,4,0
1143,3,1,1,2
1144,0,2,1,0
1145,3,4,11,1
1146,0,3,6,0
1147,3,1,6,1
1148,4,0,6,0
1149,2,0,5,2
1150,2,1,3,1
1151,1,1,5,0
1152,2,0,3,1
1153,3,1,3,0
1154,7,3,8,3
1155,5,2,7,2
1156,0,1,3,0
1157,1,2,1,2
1158,1,0,2,1
1159,5,3,6,3
1160,1,3,1,0
1161,2,2,3,2
1162,5,2,14,3
1163,0,0,4,1
1164,4,3,7,3
1165,2,0,3,1
1166,1,1,2,1
1167,0,2,4,0
1168,0,2,6,1
1169,1,0,6,0
1170,1,0,2,0
1171,1,1,6,3
1172,0,2,3,1
1173,0,1,1,2
1174,3,5,12,2
1175,1,1,2,0
1176,1,1,2,1
1177,2,3,3,1
1178,1,0,5,0
1179,1,1,4,2
1180,2,1,4,0
1181,2,1,14,2
1182,1,0,3,0
1183,2,1,2,0
1184,2,0,4,1
1185,0,0,1,2
1186,2,0,6,0
1187,2,1,6,1
1188,0,0,6,0
1189,1,3,4,1
1190,5,3,14,4
1191,0,0,1,2
1192,1,0,5,0
1193,2,4,11,2
1194,1,3,6,1
1195,1,0,5,0
1196,0,1,2,0
1197,1,1,3,1
1198,4,5,7,2
1199,4,3,12,1
1200,0,1,2,0
1201,1,1,6,0
1202,1,0,5,0
1203,1,3,3,3
1204,4,3,9,1
1205,2,2,6,0
1206,4,1,6,0
1207,1,0,4,0
1208,0,3,3,0
1209,3,1,5,0
1210,4,2,10,1
1211,0,0,6,1
1212,1,1,5,0
1213,5,4,10,2
1214,1,0,2,0
1215,0,0,6,0
1216,4,1,12,5
1217,4,2,13,2
1218,3,1,6,0
1219,0,0,5,2
1220,0,0,5,2
1221,3,4,5,2
1222,0,0,3,1
1223,1,1,5,0
1224,7,3,10,1
1225,0,0,6,0
1226,2,0,1,2
1227,3,0,3,2
1228,2,3,6,0
1229,2,0,4,0
1230,3,3,13,2
1231,5,4,12,1
1232,1,1,3,3
1233,1,0,3,2
1234,6,5,13,1
1235,3,1,13,2
1236,5,5,5,1
1237,4,1,3,2
1238,1,1,5,1
1239,2,0,4,0
1240,2,1,3,2
1241,0,0,1,0
1242,0,1,1,0
1243,5,6,6,2
1244,1,0,5,1
1245,2,2,6,2
1246,4,0,2,0
1247,2,3,11,2
1248,0,0,6,1
1249,0,0,4,2
1250,0,2,4,3
1251,1,0,5,1
1252,1,0,3,0
1253,0,0,2,0
1254,2,1,6,0
1255,3,3,9,2
1256,2,0,1,0
1257,1,1,2,1
1258,1,3,1,3
1259,2,1,2,0
1260,2,1,2,1
1261,0,2,3,1
1262,1,2,2,1
1263,3,2,3,3
1264,1,0,1,0
1265,1,1,3,0
1266,2,0,3,0
1267,3,2,8,2
1268,2,1,3,1
1269,3,1,6,1
1270,1,2,3,2
1271,4,2,2,2
1272,6,5,14,1
1273,0,1,6,1
1274,3,2,2,0
1275,1,0,5,0
1276,5,4,12,3
1277,2,3,6,0
1278,2,1,1,2
1279,0,0,1,1
1280,3,2,14,1
1281,3,1,3,0
1282,5,2,8,2
1283,1,1,3,0
1284,0,0,4,0
1285,0,2,5,0
1286,1,1,5,1
1287,0,1,3,0
1288,1,1,5,1
1289,3,1,4,1
1290,0,1,5,0
1291,0,0,3,1
1292,0,1,4,0
1293,3,4,9,2
1294,1,1,4,1
1295,2,3,4,1
1296,1,3,4,1
1297,3,1,1,0
1298,3,1,6,0
1299,4,2,1,0
1300,1,0,4,0
1301,1,1,1,2
1302,3,1,3,0
1303,0,0,5,0
1304,4,3,5,2
1305,1,0,1,1
1306,1,0,5,0
1307,2,1,1,0
1308,2,1,6,2
1309,0,0,4,1
1310,1,0,4,2
1311,3,2,13,3
1312,0,2,2,0
1313,1,1,2,0
1314,5,2,7,1
1315,1,2,5,2
1316,1,1,4,0
1317,2,0,5,1
1318,3,0,3,2
1319,6,4,14,0
1320,2,1,7,5
1321,1,0,2,0
1322,2,3,5,1
1323,1,0,5,0
1324,0,3,6,0
1325,2,2,5,1
1326,2,2,6,0
1327,4,3,4,0
1328,1,1,3,1
1329,2,1,4,1
1330,4,1,6,0
1331,0,1,2,0
1332,0,0,2,3
1333,0,0,4,0
1334,1,0,5,2
1335,0,0,5,1
1336,2,0,4,1
1337,0,0,6,0
1338,0,0,3,0
1339,1,0,1,0
1340,4,1,11,2
1341,1,0,2,1
1342,3,4,7,1
1343,4,0,3,0
1344,2,0,2,0
1345,1,2,6,0
1346,1,2,2,0
1347,1,1,2,2
1348,1,2,3,0
1349,5,3,9,2
1350,2,3,5,0
1351,6,2,14,1
1352,0,2,5,2
1353,3,1,1,0
1354,0,0,5,1
1355,0,0,3,0
1356,2,1,2,1
1357,4,2,6,2
