subscription_id,event_date,event_type,mrr_change
838,2024-08-12,churn,-29
848,2025-11-18,new,79
869,2023-12-08,new,79
869,2024-03-07,contraction,-50
877,2024-05-24,new,199
877,2024-11-20,churn,-199
885,2023-08-11,new,29
889,2023-05-31,new,29
895,2023-04-26,new,79
895,2023-07-25,expansion,50
907,2025-01-07,new,199
909,2023-04-13,new,29
909,2023-10-10,churn,-29
913,2025-10-06,new,199
914,2025-05-08,new,199
921,2026-01-30,new,29
923,2026-01-07,new,29
923,2026-04-07,expansion,50
924,2023-05-14,new,79
924,2023-11-10,churn,-79
930,2024-11-18,new,79
932,2025-07-12,new,29
932,2026-01-08,churn,-29
942,2024-03-04,new,79
942,2024-06-02,expansion,50
951,2025-11-09,new,29
953,2023-06-06,new,29
954,2024-02-16,new,79
965,2024-11-16,new,29
966,2024-05-28,new,199
966,2024-11-24,churn,-199
968,2026-01-26,new,29
973,2023-02-15,new,29
976,2024-08-07,new,199
984,2023-02-12,new,79
984,2023-05-13,contraction,-50
993,2025-10-09,new,29
997,2023-11-01,new,79
998,2025-03-31,new,79
1005,2025-10-18,new,79
1010,2024-03-23,new,79
1018,2023-11-15,new,79
1020,2025-01-05,new,29
1050,2025-10-01,new,79
1050,2026-03-30,churn,-79
1051,2023-11-18,new,29
1051,2024-05-16,churn,-29
1054,2025-12-04,new,79
1054,2026-03-04,expansion,50
1060,2024-06-15,new,29
1060,2024-12-12,churn,-29
1063,2025-04-14,new,29
1067,2023-05-06,new,29
1071,2025-04-05,new,29
1072,2024-06-15,new,79
1074,2025-04-29,new,29
1076,2025-11-28,new,79
1078,2024-07-24,new,29
1080,2025-06-21,new,79
1080,2025-09-19,expansion,50
1083,2025-02-09,new,29
1097,2023-09-13,new,79
1098,2025-04-30,new,79
1102,2024-03-29,new,29
1108,2025-08-27,new,29
1115,2026-01-24,new,79
1118,2025-04-14,new,79
1125,2023-12-20,new,79
1125,2024-03-19,contraction,-50
1126,2023-04-04,new,29
1136,2025-03-17,new,199
1136,2025-09-13,churn,-199
1140,2024-05-27,new,29
1140,2024-11-23,churn,-29
1145,2024-03-24,new,29
1154,2025-10-26,new,79
1154,2026-04-24,churn,-79
1155,2024-11-12,new,199
1155,2025-05-11,churn,-199
1159,2023-05-03,new,79
1159,2023-08-01,expansion,50
1162,2024-09-29,new,199
1162,2025-03-28,churn,-199
1164,2024-06-08,new,79
1164,2024-09-06,expansion,50
1174,2023-10-01,new,79
1181,2025-09-19,new,29
1190,2025-08-10,new,29
1193,2023-11-10,new,79
1198,2026-03-10,new,79
1198,2026-09-06,churn,-79
1199,2023-03-14,new,29
1199,2023-09-10,churn,-29
1204,2023-12-04,new,79
1210,2024-11-07,new,79
1213,2025-12-31,new,79
1216,2023-07-24,new,79
1217,2025-08-31,new,79
1217,2026-02-27,churn,-79
1221,2025-05-15,new,29
1224,2023-06-18,new,79
1224,2023-12-15,churn,-79
1230,2025-12-26,new,199
1231,2023-12-20,new,79
1234,2024-02-26,new,29
1234,2024-08-24,churn,-29
1235,2023-06-02,new,199
1236,2026-02-11,new,29
1236,2026-05-12,contraction,-50
1243,2025-04-05,new,29
1247,2025-11-06,new,29
1255,2023-09-18,new,79
1267,2023-12-18,new,29
1272,2024-09-11,new,79
1272,2024-12-10,contraction,-50
1272,2025-03-10,churn,-79
1276,2024-12-26,new,29
1276,2025-06-24,churn,-29
1280,2023-03-28,new,29
1282,2024-11-27,new,79
1282,2025-02-25,expansion,50
1293,2025-07-20,new,29
1293,2026-01-16,churn,-29
1311,2023-08-14,new,29
1314,2024-08-14,new,79
1314,2024-11-12,expansion,50
1319,2023-01-18,new,29
1320,2025-06-28,new,199
1320,2025-09-26,contraction,-50
1320,2025-12-25,churn,-199
1340,2024-07-11,new,29
1342,2023-12-27,new,79
1349,2026-03-14,new,79
1351,2024-10-28,new,29
1351,2025-04-26,churn,-29
1357,2025-08-06,new,29
1361,2026-02-05,new,79
1366,2024-06-19,new,79
1366,2024-12-16,churn,-79
1369,2026-03-13,new,29
1371,2025-05-07,new,79
1373,2025-06-29,new,79
1374,2026-01-26,new,79
1384,2023-05-31,new,199
1384,2023-11-27,churn,-199
1387,2024-02-14,new,29
1387,2024-05-14,expansion,50
1392,2025-12-20,new,29
1392,2026-06-18,churn,-29
1407,2023-09-04,new,79
1411,2024-12-18,new,79
1412,2025-04-14,new,29
1412,2025-07-13,expansion,50
1412,2025-10-11,churn,-29
1420,2023-07-01,new,29
1431,2025-05-13,new,79
1431,2025-08-11,contraction,-50
1432,2025-06-19,new,79
1438,2024-03-24,new,29
1443,2023-02-24,new,29
1446,2023-07-02,new,29
1450,2024-09-06,new,29
1456,2025-03-25,new,29
1467,2024-07-26,new,199
1472,2024-04-07,new,29
1472,2024-07-06,expansion,50
1485,2023-01-31,new,29
1487,2025-06-11,new,199
1487,2025-09-09,expansion,50
1489,2025-07-13,new,79
1491,2025-07-16,new,79
1491,2026-01-12,churn,-79
1501,2023-08-21,new,79
1501,2023-11-19,contraction,-50
1504,2024-09-17,new,29
1509,2026-01-26,new,29
1509,2026-07-25,churn,-29
1516,2023-04-22,new,29
1516,2023-07-21,contraction,-50
1517,2025-04-13,new,29
1520,2024-03-19,new,79
1524,2025-12-19,new,79
1524,2026-06-17,churn,-79
1527,2024-05-28,new,199
1527,2024-11-24,churn,-199
1539,2026-01-14,new,199
1540,2023-06-22,new,199
1541,2025-08-10,new,29
1541,2026-02-06,churn,-29
1554,2025-06-20,new,29
1556,2025-10-11,new,29
1572,2023-06-22,new,199
1584,2025-07-29,new,29
1586,2025-02-05,new,79
1594,2024-05-04,new,199
1595,2024-01-08,new,199
1595,2024-04-07,expansion,50
1595,2024-07-06,churn,-199
1606,2024-05-16,new,29
1606,2024-08-14,expansion,50
1607,2025-01-23,new,29
1611,2024-10-08,new,199
1613,2025-09-27,new,29
1615,2023-06-26,new,79
1635,2026-01-04,new,79
1636,2026-03-01,new,29
1637,2023-09-11,new,29
1641,2024-06-15,new,29
1641,2024-09-13,contraction,-50
1644,2024-05-29,new,79
1644,2024-08-27,contraction,-50
1644,2024-11-25,churn,-79
1645,2026-02-20,new,29
1645,2026-08-19,churn,-29
1647,2023-01-22,new,29
1647,2023-04-22,contraction,-50
1647,2023-07-21,churn,-29
1651,2024-08-07,new,29
1652,2023-10-06,new,29
1668,2023-11-14,new,29
1668,2024-05-12,churn,-29
1674,2025-06-22,new,79
1676,2023-05-17,new,29
1676,2023-11-13,churn,-29
1683,2024-08-21,new,79
1684,2024-04-30,new,79
1695,2025-10-27,new,79
1697,2025-03-18,new,79
1700,2025-11-29,new,29
1702,2023-01-18,new,29
1709,2023-12-27,new,79
1711,2025-06-30,new,29
1711,2025-12-27,churn,-29
1720,2023-12-14,new,199
1725,2023-01-26,new,29
1725,2023-07-25,churn,-29
1735,2026-02-01,new,199
1742,2023-01-17,new,79
1747,2024-08-09,new,29
1747,2025-02-05,churn,-29
1751,2024-02-02,new,199
1751,2024-05-02,expansion,50
1753,2024-04-29,new,29
1763,2023-04-02,new,29
1763,2023-09-29,churn,-29
1791,2024-05-11,new,79
1791,2024-11-07,churn,-79
1797,2024-05-27,new,79
1797,2024-11-23,churn,-79
1809,2026-02-09,new,29
1809,2026-08-08,churn,-29
1810,2024-12-12,new,29
1810,2025-03-12,contraction,-50
1813,2023-04-07,new,199
1813,2023-07-06,expansion,50
1817,2026-02-17,new,29
1822,2023-05-28,new,199
1825,2024-04-20,new,79
1832,2024-02-01,new,29
1832,2024-07-30,churn,-29
1837,2023-05-01,new,29
1840,2023-03-28,new,79
1847,2025-02-19,new,79
1851,2025-03-16,new,29
1851,2025-09-12,churn,-29
1864,2023-07-30,new,29
1867,2024-07-05,new,29
1870,2024-09-30,new,199
1875,2023-10-21,new,79
1877,2025-08-13,new,79
1877,2026-02-09,churn,-79
1879,2024-03-31,new,29
1897,2024-03-27,new,79
1898,2025-03-15,new,79
1903,2025-11-13,new,29
1908,2023-02-01,new,29
1908,2023-07-31,churn,-29
1916,2024-07-11,new,29
1923,2023-12-20,new,29
1927,2024-08-09,new,29
1928,2026-03-12,new,79
1934,2023-11-25,new,29
1943,2025-11-06,new,29
1953,2023-06-13,new,199
1953,2023-12-10,churn,-199
1960,2024-12-16,new,79
1963,2025-08-30,new,29
1963,2026-02-26,churn,-29
1965,2023-02-10,new,29
1966,2024-10-26,new,29
1966,2025-04-24,churn,-29
1972,2025-02-25,new,29
1972,2025-05-26,contraction,-50
1988,2024-01-06,new,29
1996,2024-07-09,new,29
1996,2025-01-05,churn,-29
2017,2025-02-02,new,79
2017,2025-08-01,churn,-79
2023,2025-03-29,new,199
2023,2025-06-27,expansion,50
2028,2024-01-28,new,29
2029,2023-08-15,new,29
2029,2023-11-13,expansion,50
2030,2025-03-20,new,29
2032,2024-10-25,new,79
2034,2025-04-03,new,199
2045,2023-05-01,new,29
2048,2025-08-20,new,79
2080,2023-03-10,new,29
2080,2023-06-08,expansion,50
2082,2025-06-22,new,79
2095,2023-08-17,new,29
2095,2024-02-13,churn,-29
2106,2025-08-05,new,199
2110,2023-12-11,new,79
2112,2023-03-09,new,29
2113,2024-04-27,new,79
2113,2024-07-26,expansion,50
2119,2024-07-07,new,79
2119,2025-01-03,churn,-79
2123,2024-03-04,new,29
2136,2023-02-24,new,29
2138,2023-11-30,new,79
2138,2024-02-28,contraction,-50
2138,2024-05-28,churn,-79
2139,2025-01-16,new,29
2151,2023-02-21,new,79
2166,2025-06-22,new,199
2166,2025-12-19,churn,-199
2167,2023-07-09,new,29
2168,2023-11-28,new,29
2169,2025-10-12,new,79
2171,2025-06-03,new,29
2175,2024-04-29,new,29
2177,2026-01-07,new,29
2177,2026-07-06,churn,-29
2183,2023-03-31,new,29
2189,2025-01-07,new,199
2192,2025-10-07,new,29
2197,2024-11-18,new,29
2198,2026-01-28,new,29
2199,2023-03-25,new,29
2199,2023-09-21,churn,-29
2200,2024-01-23,new,199
2202,2023-04-10,new,29
2207,2024-09-28,new,79
2210,2024-10-01,new,79
2210,2025-03-30,churn,-79
2212,2023-06-16,new,29
2214,2025-05-30,new,79
2217,2025-09-12,new,79
2217,2025-12-11,expansion,50
2221,2023-11-14,new,29
2221,2024-05-12,churn,-29
2228,2024-06-23,new,29
2230,2023-02-04,new,29
2234,2024-12-15,new,79
2234,2025-06-13,churn,-79
2237,2023-06-16,new,79
2238,2025-03-09,new,79
2241,2025-01-06,new,199
2248,2025-11-06,new,79
2248,2026-02-04,expansion,50
2250,2025-10-31,new,29
2251,2024-01-18,new,29
2251,2024-07-16,churn,-29
2255,2024-05-09,new,29
2255,2024-11-05,churn,-29
2256,2025-09-22,new,29
2259,2023-01-29,new,79
2261,2023-06-06,new,199
2261,2023-12-03,churn,-199
2264,2023-11-28,new,29
2264,2024-05-26,churn,-29
2266,2023-11-07,new,29
2269,2023-10-05,new,29
2269,2024-01-03,contraction,-50
2273,2026-01-11,new,29
2276,2025-01-16,new,29
2276,2025-07-15,churn,-29
2277,2025-09-13,new,79
2277,2025-12-12,contraction,-50
2286,2023-10-25,new,29
2292,2025-12-17,new,199
2292,2026-06-15,churn,-199
2295,2025-01-09,new,199
2302,2025-08-18,new,29
2307,2024-03-20,new,29
2322,2024-11-26,new,29
2322,2025-05-25,churn,-29
2328,2026-03-11,new,29
2329,2025-11-27,new,29
2332,2025-07-27,new,29
2333,2024-09-25,new,29
2333,2025-03-24,churn,-29
2334,2023-11-16,new,79
2334,2024-02-14,contraction,-50
2338,2023-07-17,new,79
2338,2024-01-13,churn,-79
2343,2026-01-28,new,79
2343,2026-04-28,expansion,50
2345,2024-08-18,new,29
2345,2024-11-16,contraction,-50
2348,2025-05-17,new,79
2352,2024-06-02,new,79
2354,2025-06-11,new,79
2355,2025-11-23,new,79
2358,2023-05-26,new,29
2359,2025-01-27,new,29
2359,2025-07-26,churn,-29
2361,2026-02-04,new,79
2361,2026-08-03,churn,-79
2363,2025-02-14,new,199
2369,2025-01-15,new,29
2392,2025-11-08,new,29
2394,2023-04-08,new,29
2394,2023-10-05,churn,-29
2399,2023-12-28,new,79
2410,2024-10-29,new,79
2412,2025-09-24,new,79
2416,2023-10-31,new,199
2424,2023-10-18,new,29
2427,2026-03-14,new,199
2427,2026-09-10,churn,-199
2437,2026-03-15,new,79
2438,2023-02-23,new,29
2446,2023-09-21,new,29
2448,2023-08-10,new,29
2448,2024-02-06,churn,-29
2452,2026-01-19,new,79
2452,2026-04-19,expansion,50
2452,2026-07-18,churn,-79
2453,2025-12-22,new,29
2453,2026-06-20,churn,-29
2454,2025-01-20,new,29
2454,2025-04-20,expansion,50
2455,2026-01-13,new,79
2455,2026-07-12,churn,-79
2462,2024-04-10,new,29
2462,2024-10-07,churn,-29
2467,2024-04-16,new,29
2469,2025-12-13,new,79
2469,2026-06-11,churn,-79
2476,2024-08-14,new,199
2476,2025-02-10,churn,-199
2494,2024-12-16,new,29
2497,2025-04-03,new,199
2508,2024-08-08,new,29
2508,2025-02-04,churn,-29
2514,2024-01-30,new,29
2527,2023-08-18,new,29
2544,2023-07-08,new,29
2545,2025-08-31,new,29
2548,2026-01-06,new,199
2548,2026-04-06,contraction,-50
2549,2025-06-26,new,29
2549,2025-12-23,churn,-29
2550,2024-09-04,new,199
2563,2023-08-28,new,29
2563,2024-02-24,churn,-29
2566,2024-11-18,new,29
2567,2023-07-02,new,29
2567,2023-09-30,contraction,-50
2570,2023-09-15,new,29
2574,2025-12-30,new,29
2591,2023-08-25,new,29
2591,2024-02-21,churn,-29
2595,2023-02-06,new,29
2601,2024-02-28,new,29
2607,2024-07-02,new,29
2607,2024-12-29,churn,-29
2615,2024-12-14,new,29
2616,2024-11-25,new,79
2620,2023-05-27,new,29
2621,2023-04-16,new,29
2621,2023-10-13,churn,-29
2626,2024-02-06,new,29
2628,2026-01-31,new,29
2628,2026-07-30,churn,-29
2642,2025-08-11,new,29
2642,2025-11-09,contraction,-50
2642,2026-02-07,churn,-29
2643,2024-01-18,new,79
2659,2024-03-30,new,199
2662,2025-08-19,new,29
2662,2026-02-15,churn,-29
2669,2023-11-04,new,29
2679,2023-01-17,new,29
2680,2025-06-25,new,79
2684,2025-08-24,new,29
2684,2026-02-20,churn,-29
2686,2025-09-23,new,29
2689,2023-05-04,new,199
2689,2023-10-31,churn,-199
2702,2023-02-15,new,199
2702,2023-08-14,churn,-199
2703,2023-04-25,new,29
2706,2024-05-24,new,79
2707,2024-04-30,new,29
2707,2024-10-27,churn,-29
2709,2025-01-18,new,29
2710,2025-10-09,new,79
2712,2023-09-24,new,29
2720,2023-03-25,new,29
2729,2024-08-17,new,199
2735,2024-06-16,new,29
2735,2024-12-13,churn,-29
2751,2024-09-22,new,29
2751,2024-12-21,expansion,50
2753,2023-02-20,new,79
2756,2023-12-16,new,79
2756,2024-03-15,expansion,50
2788,2023-01-27,new,29
2790,2023-10-15,new,79
2790,2024-01-13,expansion,50
2794,2024-07-06,new,29
2794,2025-01-02,churn,-29
2798,2025-03-13,new,79
2803,2023-09-29,new,29
2803,2024-03-27,churn,-29
2813,2023-01-16,new,29
2813,2023-07-15,churn,-29
2820,2024-05-07,new,79
2827,2025-01-07,new,199
2834,2025-11-07,new,29
2841,2023-06-03,new,199
2849,2026-02-25,new,199
2849,2026-08-24,churn,-199
2851,2026-03-06,new,199
2854,2024-02-19,new,79
2856,2023-04-24,new,29
2857,2024-06-16,new,79
2862,2025-02-02,new,29
2881,2025-06-28,new,79
2886,2025-11-12,new,29
2892,2023-11-13,new,29
2899,2025-07-25,new,199
2910,2023-04-11,new,79
2910,2023-10-08,churn,-79
2911,2023-11-07,new,199
2914,2023-07-23,new,79
2929,2023-11-17,new,29
2929,2024-02-15,expansion,50
2931,2025-09-23,new,29
2933,2023-12-24,new,79
2936,2026-02-22,new,29
2936,2026-05-23,expansion,50
2937,2023-12-31,new,199
2937,2024-06-28,churn,-199
2955,2023-04-17,new,79
2958,2026-03-05,new,79
2958,2026-09-01,churn,-79
2961,2024-01-21,new,79
2961,2024-04-20,expansion,50
2962,2023-07-18,new,29
2962,2024-01-14,churn,-29
2965,2025-08-26,new,29
2965,2026-02-22,churn,-29
2968,2023-08-25,new,29
2968,2023-11-23,expansion,50
2980,2023-04-21,new,29
2980,2023-10-18,churn,-29
2981,2024-12-25,new,79
2982,2023-06-13,new,29
2982,2023-12-10,churn,-29
2986,2024-01-08,new,29
2988,2023-11-27,new,199
2989,2025-06-18,new,29
2989,2025-09-16,expansion,50
3005,2025-12-04,new,79
3011,2023-12-01,new,29
3015,2026-01-23,new,79
3015,2026-07-22,churn,-79
3023,2025-08-18,new,29
3024,2023-10-10,new,29
3024,2024-04-07,churn,-29
3025,2024-03-25,new,29
3025,2024-09-21,churn,-29
3031,2024-03-02,new,79
3032,2023-12-01,new,29
3032,2024-02-29,expansion,50
3033,2025-01-25,new,29
3033,2025-07-24,churn,-29
3034,2025-03-30,new,29
3034,2025-09-26,churn,-29
3035,2024-03-07,new,79
3037,2025-03-16,new,29
3038,2023-04-15,new,29
3043,2025-08-08,new,29
3054,2024-07-05,new,199
3055,2023-03-18,new,29
3061,2023-12-28,new,29
3062,2024-01-27,new,79
3067,2025-03-12,new,29
3076,2025-06-29,new,29
3079,2023-10-06,new,29
3084,2024-11-24,new,29
3084,2025-05-23,churn,-29
3095,2024-02-14,new,29
3096,2024-07-16,new,29
3096,2025-01-12,churn,-29
3099,2023-04-02,new,79
3100,2025-12-23,new,199
3109,2025-09-15,new,29
3109,2025-12-14,expansion,50
3115,2025-11-18,new,29
3115,2026-05-17,churn,-29
3121,2025-07-27,new,29
3121,2026-01-23,churn,-29
3125,2024-06-14,new,79
3133,2024-10-06,new,29
3134,2025-09-09,new,79
3136,2024-01-10,new,29
3136,2024-04-09,contraction,-50
3142,2023-09-25,new,79
3142,2023-12-24,expansion,50
3145,2024-10-08,new,29
3145,2025-04-06,churn,-29
3147,2024-03-07,new,79
3147,2024-06-05,contraction,-50
3156,2025-08-15,new,29
3164,2025-10-04,new,29
3168,2023-03-18,new,79
3174,2025-05-09,new,79
3174,2025-11-05,churn,-79
3176,2025-02-03,new,29
3176,2025-05-04,contraction,-50
3179,2025-01-23,new,29
3187,2025-05-25,new,29
3193,2023-09-23,new,29
3198,2024-05-01,new,79
3209,2024-05-30,new,29
3212,2025-01-15,new,79
3212,2025-04-15,contraction,-50
3216,2024-09-16,new,29
3223,2023-10-01,new,199
3224,2025-01-09,new,29
3226,2023-06-01,new,79
3235,2024-10-30,new,29
3237,2025-04-16,new,29
3239,2024-05-22,new,79
3239,2024-11-18,churn,-79
3242,2024-05-14,new,79
3246,2025-07-04,new,29
3246,2025-12-31,churn,-29
3248,2023-06-03,new,29
3251,2024-04-27,new,79
3251,2024-07-26,expansion,50
3252,2023-10-25,new,79
3254,2023-02-02,new,79
3257,2024-09-07,new,79
3257,2025-03-06,churn,-79
3260,2025-11-22,new,29
3262,2025-10-22,new,29
3263,2024-12-31,new,29
3263,2025-03-31,expansion,50
3266,2025-01-21,new,29
3274,2023-02-14,new,79
3277,2026-02-01,new,79
3277,2026-07-31,churn,-79
3279,2026-03-11,new,29
3283,2024-02-17,new,79
3301,2023-02-05,new,199
3304,2025-08-20,new,79
3306,2026-01-05,new,79
3312,2024-03-30,new,29
3312,2024-09-26,churn,-29
3325,2024-03-04,new,79
3325,2024-08-31,churn,-79
3326,2024-12-30,new,29
3326,2025-03-30,contraction,-50
3328,2025-08-16,new,79
3328,2025-11-14,contraction,-50
3335,2026-01-04,new,29
3335,2026-04-04,expansion,50
3341,2025-05-24,new,29
3343,2023-05-29,new,79
3344,2025-04-13,new,29
3365,2025-08-30,new,199
3370,2025-01-26,new,79
3370,2025-07-25,churn,-79
3375,2023-12-30,new,29
3385,2024-06-09,new,29
3388,2024-05-02,new,199
3389,2024-07-10,new,29
3393,2023-09-19,new,29
3393,2024-03-17,churn,-29
3400,2023-04-19,new,29
3404,2023-02-14,new,29
3406,2024-11-05,new,29
3410,2024-08-05,new,29
3415,2024-10-12,new,199
3416,2024-07-08,new,29
3416,2024-10-06,expansion,50
3416,2025-01-04,churn,-29
3418,2023-07-03,new,199
3425,2025-07-19,new,79
3430,2023-08-06,new,29
3438,2025-09-12,new,79
3443,2025-11-12,new,79
3447,2024-10-18,new,29
3447,2025-01-16,contraction,-50
3449,2023-08-28,new,199
3451,2025-10-11,new,29
3452,2024-12-26,new,79
3454,2024-03-27,new,29
3454,2024-09-23,churn,-29
3455,2025-12-25,new,199
3458,2024-12-02,new,29
3469,2025-07-06,new,199
3469,2025-10-04,contraction,-50
3469,2026-01-02,churn,-199
3471,2025-04-28,new,199
3475,2024-03-01,new,29
3475,2024-05-30,expansion,50
3482,2026-01-19,new,29
3482,2026-04-19,contraction,-50
3486,2025-08-15,new,29
3502,2024-09-22,new,79
3503,2024-06-21,new,79
3504,2023-02-09,new,29
3517,2023-07-02,new,29
3522,2024-06-29,new,79
3527,2025-03-05,new,79
3546,2025-12-27,new,79
3547,2025-05-18,new,199
3547,2025-08-16,contraction,-50
3547,2025-11-14,churn,-199
3549,2025-11-03,new,79
3549,2026-02-01,expansion,50
3552,2024-09-09,new,79
3557,2025-08-26,new,29
3558,2023-12-18,new,79
3558,2024-06-15,churn,-79
3589,2024-10-25,new,79
3592,2024-01-29,new,29
3595,2024-12-23,new,29
3595,2025-03-23,contraction,-50
3595,2025-06-21,churn,-29
3602,2025-07-30,new,199
3629,2025-05-10,new,29
3631,2023-01-24,new,29
3631,2023-04-24,expansion,50
3632,2023-06-17,new,199
3637,2024-05-01,new,199
3638,2025-10-04,new,29
3638,2026-01-02,contraction,-50
3643,2024-11-25,new,79
3644,2025-12-08,new,199
3644,2026-06-06,churn,-199
3645,2024-04-30,new,29
3646,2025-01-25,new,79
3654,2025-02-18,new,79
3654,2025-05-19,expansion,50
3654,2025-08-17,churn,-79
3656,2025-01-11,new,79
3669,2023-09-06,new,29
3672,2025-08-10,new,29
3673,2023-06-11,new,199
3677,2023-05-02,new,29
3677,2023-10-29,churn,-29
3679,2025-06-12,new,29
3682,2025-11-15,new,79
3684,2023-12-28,new,79
3687,2024-06-18,new,79
3687,2024-12-15,churn,-79
3691,2024-08-21,new,29
3694,2023-10-03,new,29
